304,Ncoders,"Chandubhai S Patel Institute of Technology, Gujarat",1
305,vulpines,Jaypee Institute of Information Technology,1
306,Dual Coders,"International Institute of Information Technology, Hyderabad",1
307,Dkoders,Anil Neerukonda Institute of Technology and Sciences,1
308,outofsyllabus,"Madras Institute of Technology, Anna University",1
309,T-Asterisk-3,"International Institute of Information Technology, Hyderabad",1
310,ctcoders,"Rajiv Gandhi College Of Engg And Research, Nagpur",1
311,McCarthy,"JK Institute of Applied Physics and Technology,University of Allahabad",1
311,redHack,Birla Institute of Technology Mesra,1
313,Coddicted,"Indian Institute of Technology, Jodhpur",1
314,qwerty,Jaypee Institute of Information Technology,1
315,Psychopaths,National Institute of Technology Tiruchirappalli,1
316,Pseudo Coders,"Indraprastha Institute of Information Technology, Delhi",1
317,Divinity,Bapatla Engineering College,1
318,codelovers,"Bengal Engineering and Science University, Shibpur",1
319,dexters,"National Institute of Technology, Durgapur",1
320,Subway Surfers1,Indian Institute of Technology Guwahati,1
321,Vcode,"Madras Institute of Technology, Anna University",1
322,CODEHANGOVER,Jaypee Institute of Information Technology,1
323,IETForce,"Institute of Engineering and Technology, Devi Ahilya Vishwavidyalaya",1
324,teen tigada,"Indraprastha Institute of Information Technology, Delhi",1
325,Team---Name,"International Institute of Information Technology, Hyderabad",1
326,CODERUSH,"National Institute of Technology, Durgapur",1
327,CodeDwellers,"Bharati Vidyapeeth College of Engineering, Delhi",1
328,CODING_WIZARD,"National Institute of Technology, Durgapur",1
329,D_Coders,"National Institute of Technology, Durgapur",1
330,arkhamCoders,"Birla Institute of Technology & Science Pilani, Pilani Campus",1
331,DisCo-ders,"International Institute of Information Technology, Hyderabad",1
332,manic_coders,Indian Institute of Technology Patna,1
333,nitdgp_dx,"National Institute of Technology, Durgapur",1
334,phoenix360,"National Institute of Technology, Durgapur",1
335,WhiteWalkers,GD Goenka World Institute,1
336,Codex007,"Dwarkadas Jivanlal Sanghvi College of Engineering, Vile Parle, Mumbai",1
337,bigo3,"International Institute of Information Technology, Hyderabad",1
